,Sample,Study,ERBB2,EGFR
11957,GTEX-11DXX-1226-SM-5GICD,GTEX,11.6,12.52
11958,GTEX-WXYG-1226-SM-4ONCJ,GTEX,13.74,12.67
11959,GTEX-11H98-0011-R11b-SM-5NQ6U,GTEX,9.002,9.002
11960,GTEX-13112-0126-SM-5P9IU,GTEX,13.22,13.39
11961,TCGA-KN-8424-01,TCGA,11.87,12.09
11962,GTEX-SN8G-0001-SM-3NM8L,GTEX,8.811,4.611
11963,GTEX-P4PP-1026-SM-3NM9O,GTEX,12.04,10.94
11964,TCGA-AS-3777-01,TCGA,12.99,12.95
11965,GTEX-14C38-1226-SM-5S2UK,GTEX,11.2,10.61
11966,TCGA-A5-A2K7-01,TCGA,13.16,10.8
11967,GTEX-PVOW-0426-SM-2XCF8,GTEX,11.17,12.0
11968,GTEX-12KS4-2126-SM-5FQUT,GTEX,13.06,13.63
11969,TCGA-LK-A4NY-01,TCGA,12.56,11.63
11970,GTEX-PWN1-1526-SM-48TDA,GTEX,12.44,11.01
11971,GTEX-ZTSS-0726-SM-51MSN,GTEX,11.14,12.68
11972,GTEX-OXRN-2626-SM-48TBX,GTEX,10.22,9.203
11973,TCGA-BR-7715-11,TCGA,11.27,10.31
11974,TCGA-BH-A0DO-11,TCGA,13.18,13.12
11975,TCGA-XF-A9SZ-01,TCGA,14.61,11.74
11976,TCGA-B4-5836-01,TCGA,12.01,14.61
11977,TCGA-4V-A9QN-01,TCGA,11.56,12.7
11978,TCGA-AB-2865-03,TCGA,8.105,0.0
11979,TCGA-85-8580-01,TCGA,12.69,13.38
11980,GTEX-146FR-1326-SM-5SIAJ,GTEX,13.25,13.93
11981,TCGA-CD-8534-01,TCGA,13.76,13.36
11982,TCGA-YH-A8SY-01,TCGA,13.33,10.85
11983,TCGA-EM-A4FN-01,TCGA,13.5,11.32
11984,TCGA-AR-A2LJ-01,TCGA,16.87,9.575
11985,GTEX-1117F-0726-SM-5GIEN,GTEX,11.71,10.57
11986,GTEX-Q2AI-0008-SM-48U2H,GTEX,10.27,11.98
11987,TCGA-K1-A6RT-01,TCGA,11.48,10.59
11988,TCGA-HT-A5R9-01,TCGA,9.742,14.22
11989,TCGA-EJ-7786-01,TCGA,13.4,12.48
11990,TCGA-L1-A7W4-01,TCGA,12.64,12.43
11991,GTEX-14BIM-3126-SM-5Q5C7,GTEX,8.555,8.979
11992,TCGA-FG-7634-01,TCGA,9.897,14.02
11993,TCGA-F5-6810-01,TCGA,12.67,11.07
11994,GTEX-11TUW-0926-SM-5EQMW,GTEX,11.51,11.34
11995,GTEX-X3Y1-1726-SM-4PQZL,GTEX,12.43,11.99
11996,TCGA-EL-A4JX-01,TCGA,13.24,11.93
11997,GTEX-11GSP-0011-R7b-SM-57WC3,GTEX,10.16,11.61
11998,GTEX-OXRL-1626-SM-2YUMU,GTEX,10.79,10.67
11999,GTEX-R55G-0006-SM-2TC6O,GTEX,6.911,6.199
12000,TCGA-BC-A216-01,TCGA,10.15,12.82
12001,GTEX-WWYW-0826-SM-3NB2X,GTEX,12.39,12.14
12002,GTEX-ZT9W-0008-SM-4YCDJ,GTEX,11.77,11.96
12003,GTEX-13FTW-0926-SM-5J2NJ,GTEX,12.14,11.6
12004,GTEX-YEC3-2526-101809-SM-5CVLT,GTEX,13.71,12.82
12005,TCGA-ED-A82E-01,TCGA,12.36,12.47
12006,TCGA-EB-A4OY-01,TCGA,11.88,8.02
12007,TCGA-CQ-5333-01,TCGA,12.23,12.27
12008,TCGA-EE-A20C-06,TCGA,11.63,2.457
12009,TCGA-EJ-A7NF-01,TCGA,12.76,11.42
12010,TCGA-OR-A5LB-01,TCGA,7.839,12.1
12011,TCGA-GL-7966-01,TCGA,12.81,13.83
12012,TCGA-63-7022-01,TCGA,11.52,13.09
12013,GTEX-145MF-1026-SM-5Q5EQ,GTEX,10.58,11.92
12014,TCGA-2J-AAB4-01,TCGA,13.22,11.6
12015,TCGA-AR-A0TP-01,TCGA,12.37,11.99
12016,GTEX-RU1J-0826-SM-46MUU,GTEX,11.29,11.5
12017,TARGET-50-PAJLIP-01,TARGET,12.96,8.849
12018,GTEX-P4QR-0326-SM-5SI8P,GTEX,13.21,14.28
12019,GTEX-13D11-1726-SM-5IFGQ,GTEX,12.33,10.33
12020,GTEX-13OVL-0011-R8a-SM-5L3HH,GTEX,8.888,10.12
12021,GTEX-PLZ6-1226-SM-3P5ZS,GTEX,11.65,12.36
12022,TCGA-B0-5705-01,TCGA,12.86,12.95
12023,TCGA-DJ-A1QE-01,TCGA,13.98,13.01
12024,TCGA-S7-A7WN-01,TCGA,8.109,5.416
12025,TCGA-18-3408-01,TCGA,11.7,15.36
12026,TCGA-BH-A0DK-11,TCGA,13.79,12.33
12027,GTEX-RM2N-1826-SM-2TF5B,GTEX,12.21,12.83
12028,TCGA-56-8626-01,TCGA,12.19,14.7
12029,TCGA-SR-A6MV-01,TCGA,8.389,9.432
12030,TARGET-30-PARZCJ-02,TARGET,13.48,12.17
12031,TCGA-IN-8462-01,TCGA,13.57,13.71
